Source,Timestamp,TEAM_ID,MISSION_TIME,PACKET_NO,ALTITUDE,PRESSURE,TEMP,BATTERY_VOLTAGE,GPS_TIME,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,AX,AY,AZ,GXS,GYS,GZS,FLIGHTSOFTWARE_STATUS,SURFACE_TEMP,SMOKE,CARBON_DIOXIDE,AMMONIA,METHANE,CARBON_MONOXIDE,PITCH,ROLL,YAW
cansat,2025-10-29T21:56:15.335Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,76,-92.83,1001.52,25.03,6.91,,,,,,-0.01,-0.02,-0.02,-0.45,-0.22,,,,,571.89,59.34,,,-154.35,-28.86,-99.65
cansat,2025-10-29T21:56:16.552Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,77,-92.83,1001.52,25.03,6.91,,,,,,-0.01,-0.02,-0.02,-0.45,-0.22,,,,,571.89,59.34,,,-154.35,-28.86,-99.65
cansat,2025-10-29T21:56:17.624Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,78,-93.21,1001.47,25.04,6.91,,,,,,0.03,-0.02,-0.02,-0.11,0.34,0.67,,,,571.89,59.34,,,-153.9,-29.22,-99.76
cansat,2025-10-29T21:56:18.640Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,79,-93.21,1001.47,25.04,6.91,,,,,,0.03,-0.02,-0.02,-0.11,0.34,0.67,,,,571.27,59.12,,,-153.9,-29.22,-99.76
cansat,2025-10-29T21:56:20.656Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,80,-93.21,1001.47,25.04,6.91,,,,,,0.03,-0.02,0.06,-0.11,0.34,0.67,,,,571.27,59.12,,,-153.9,-29.22,-99.76
cansat,2025-10-29T21:56:21.673Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,81,-93.21,1001.47,25.04,6.91,,,,,,0.03,-0.02,0.06,-0.11,0.34,0.67,,,,571.27,59.12,,,-153.9,-29.22,-99.76
cansat,2025-10-29T21:56:22.889Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,82,-93.21,1001.47,25.04,6.91,,,,,,0.03,-0.02,0.06,-0.11,0.34,0.67,,,,571.27,59.12,,,-153.9,-29.22,-99.76
cansat,2025-10-29T21:56:23.962Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,83,-93.77,1001.5,25.05,6.91,,,,,,-0.04,0.01,0.06,-0.78,-0.34,,,,,571.27,59.12,,,-153.97,-29.08,-99.68
cansat,2025-10-29T21:56:24.975Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,84,-93.77,1001.5,25.05,6.91,,,,,,-0.04,0.01,0.06,-0.78,-0.34,,,,,571.27,59.12,,,-153.97,-29.08,-99.68
cansat,2025-10-29T21:56:26.990Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,85,-93.77,1001.5,25.05,6.91,,,,,,-0.04,0.01,0.09,-0.78,-0.34,,,,,571.27,59.12,,,-153.97,-29.08,-99.68
cansat,2025-10-29T21:56:28.006Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,86,-93.77,1001.5,25.05,6.91,,,,,,-0.04,0.01,0.09,-0.78,-0.34,,,,,571.27,59.12,,,-153.97,-29.08,-99.68
cansat,2025-10-29T21:56:29.224Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,87,-93.77,1001.5,25.05,6.91,,,,,,-0.04,0.01,0.09,-0.78,-0.34,,,,,571.27,59.12,,,-153.97,-29.08,-99.68
cansat,2025-10-29T21:56:30.283Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,88,-93.39,1001.53,25.06,6.91,,,,,,-0.04,0.01,0.09,,-0.34,,,,,571.27,59.12,,,-154,-29.07,-99.69
cansat,2025-10-29T21:56:31.299Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,89,-93.39,1001.53,25.06,6.91,,,,,,-0.04,0.01,0.09,,-0.34,,,,,571.89,59.34,,,-154,-29.07,-99.69
cansat,2025-10-29T21:56:33.320Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,90,-93.39,1001.53,25.06,6.91,,,,,,-0.04,0.01,-0.06,,-0.34,,,,,571.89,59.34,,,-154,-29.07,-99.69
cansat,2025-10-29T21:56:34.331Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,91,-93.39,1001.53,25.06,6.91,,,,,,-0.04,0.01,-0.06,,-0.34,,,,,571.89,59.34,,,-154,-29.07,-99.69
cansat,2025-10-29T21:56:35.548Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,92,-93.39,1001.53,25.06,6.91,,,,,,-0.04,0.01,-0.06,,-0.34,,,,,571.89,59.34,,,-154,-29.07,-99.69
cansat,2025-10-29T21:56:36.629Z,2024-ASI-ROCKET-036,2000-01-01 00:00:00,93,-93.01,1001.49,25.08,6.91,,,,,,-0.07,-0.05,-0.06,-0.22,-0.56,0.67,,,,571.89,59.34,,,-153.69,-29.27,-99.67
